club_id,club_name,league,start_owner,end_owner,dates,op_type,final_model,final_mco,final_state
738,Le Havre Athletic Club,Ligue 1,Vincent Volpe,Blue Crow Sports Group,2025-06-27,Share acquisition / takeover,foreign private,0,0
1082,Lille Olympique Sporting Club,Ligue 1,Gerard Lopez,Merlyn Partners,2020-12-18,Share acquisition / takeover,investment fund,0,0
417,Olympique Gymnaste Club Nice Côte d'Azur,Ligue 1,Chien Lee-Alex Zheng-led consortium,INEOS / Jim Ratcliffe,2019-08-26,Takeover plus temporary blind-trust arrangement,corporate-MCO,1,0
1041,Olympique Lyonnais,Ligue 1,Jean-Michel Aulas / Holnest-led structure,Eagle Football / John Textor,2022-12-19,Share acquisition / takeover,corporate-MCO,1,0
667,Racing Club de Strasbourg Alsace,Ligue 1,Marc Keller-led local shareholder group,BlueCo,2023-06-22,Share acquisition / takeover,investment fund,1,0
415,Toulouse Football Club,Ligue 1,Olivier Sadran,RedBird Capital Partners,2020-07-20,Share acquisition / takeover,investment fund,1,0
989,Association Football Club Bournemouth,Premier League,Maxim Demin,Black Knight Football Club / Bill Foley,2022-12-13,Share acquisition / takeover,corporate-MCO,1,0
1132,Burnley Football Club,Premier League,Mike Garlick,ALK Capital / Velocity Sports Partners,2020-12-31,Share acquisition / takeover,investment fund,1,0
631,Chelsea Football Club,Premier League,Roman Abramovich,BlueCo / Clearlake Capital-led consortium,2022-05-30,Share acquisition / takeover,investment fund,1,0
29,Everton Football Club,Premier League,Farhad Moshiri,The Friedkin Group,2024-12-19,Cancelled proposal followed by completed takeover,corporate-MCO,1,0
677,Ipswich Town,Premier League,Marcus Evans,Gamechanger 20 / ORG-led group,2021-04-07,Takeover plus later minority investment,investment fund,0,0
399,Leeds United Association Football Club,Premier League,Andrea Radrizzani / Aser Ventures,49ers Enterprises,2023-07-17,Share acquisition / takeover,foreign private,0,0
762,Newcastle United Football Club,Premier League,Mike Ashley,PIF-led consortium,2021-10-07,Takeover plus later minority reallocation,state-linked,1,2
1123,Norwich City,Premier League,Delia Smith and Michael Wynn-Jones,Norfolk Holdings / Mark Attanasio,2024-10-23,Recapitalisation / control transfer,hybrid,0,0
350,Sheffield United,Premier League,Prince Abdullah / United World,COH Sports,2024-12-23,Share acquisition / takeover,foreign private,0,0
180,Southampton FC,Premier League,Gao Jisheng,Sport Republic,2022-01-04,Share acquisition / takeover,investment fund,1,0
984,West Bromwich Albion,Premier League,Guochuan Lai,Shilen and Kiran Patel / Bilkul Football WBA,2024-02-28,Share acquisition / takeover,foreign private,0,0
2919,AC Monza,Serie A,Fininvest / Berlusconi family,Beckett Layne Ventures,2025-09-25,Share acquisition / takeover,investment fund,0,0
430,Associazione Calcio Fiorentina,Serie A,Della Valle family,Rocco B. Commisso / Mediacom,2019-06-06,Share acquisition / takeover,foreign private,0,0
5,Associazione Calcio Milan,Serie A,Elliott Management,RedBird Capital Partners,2022-08-31,Share acquisition / takeover,investment fund,1,0
12,Associazione Sportiva Roma,Serie A,James Pallotta,The Friedkin Group,2020-08-17,Share acquisition / takeover,corporate-MCO,1,0
800,Atalanta Bergamasca Calcio S.p.a.,Serie A,Percassi family,Stephen Pagliuca-led consortium with Percassi family,2022-02-19,Holding-company majority acquisition,hybrid,0,0
1047,Calcio Como,Serie A,Previous local ownership,SENT Entertainment / Hartono family,2019-04-04,Share acquisition / takeover,corporate-MCO,1,0
46,Football Club Internazionale Milano S.p.A.,Serie A,Suning / Zhang family,Oaktree Capital Management,2024-05-22,Share-pledge enforcement / takeover,investment fund,0,0
252,Genoa Cricket and Football Club,Serie A,Enrico Preziosi,Dan Sucu,2021-09-23; 2024-12-18,Two control transfers,foreign private,1,0
130,Parma Calcio 1913,Serie A,Nuovo Inizio-led local group,Krause Group / Kyle Krause,2020-09-18,Share acquisition / takeover,foreign private,0,0
2722,SPAL,Serie A,Colombarini family,Juan Martin Molinari-led consortium (sporting successor),2021-08-13,Takeover plus later insolvency/refoundation,unknown,0,0
3522,Spezia Calcio,Serie A,Gabriele Volpi,RAM Spezia Holdings / Thomas Roberts,2021-02-11; 2025-02-08; 2025-04-23,Three successive takeovers,foreign private,0,0
1038,UC Sampdoria,Serie A,Massimo Ferrero-related structure,Gestio Capital / Matteo Manfredi-led structure,2023-05-31,Rescue capitalisation / takeover,investment fund,0,0
380,US Salernitana 1919,Serie A,Claudio Lotito and Marco Mezzaroma interests,Danilo Iervolino,2022-01-10,Trust sale / takeover,domestic private,0,0
607,Venezia FC,Serie A,Joe Tacopina-led group,Duncan Niederauer-led group,2020-02-18,Share acquisition / control consolidation,foreign private,0,0
276,Verona Hellas Football Club,Serie A,Maurizio Setti,Presidio Investors,2025-01-15,Share acquisition / takeover,investment fund,0,0
